Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MARUTI,EQ,03-Sep-2020,6920.75,6925,7116.9,6920.75,7075.05,7072.6,7049.13,947751,6680820760.15,94430,192005,20.26
MARUTI,EQ,04-Sep-2020,7072.6,6985,7324,6965.05,7210,7190.1,7222.25,2185296,15782764147,160897,274118,12.54
MARUTI,EQ,07-Sep-2020,7190.1,7225,7300,7129.25,7222.25,7209.15,7211.66,1348919,9727944733.05,108181,196685,14.58
MARUTI,EQ,08-Sep-2020,7209.15,7220,7278,7137.65,7220,7224,7224.01,1145075,8272033370.55,87288,351196,30.67
MARUTI,EQ,09-Sep-2020,7224,7200,7256.35,7121.2,7227,7215.25,7184.74,1273303,9148349628.65,102091,467218,36.69
MARUTI,EQ,10-Sep-2020,7215.25,7264,7299.4,7168,7219.2,7231.65,7232.95,978701,7078892166.6,71947,248131,25.35
MARUTI,EQ,11-Sep-2020,7231.65,7279.95,7349.9,7175,7181.2,7193.6,7248.64,1383019,10025004989.8,105158,260032,18.8
MARUTI,EQ,14-Sep-2020,7193.6,7219,7239.6,7085,7110.05,7128.85,7152.02,1003493,7177000743.3,77457,247294,24.64
MARUTI,EQ,15-Sep-2020,7128.85,7164,7175,7005,7050,7052.8,7071.67,894418,6325031614.55,62872,203426,22.74
MARUTI,EQ,16-Sep-2020,7052.8,7074,7169,7041,7055,7057.95,7092.58,920587,6529334712.4,70542,207318,22.52
MARUTI,EQ,17-Sep-2020,7057.95,7049.5,7112.9,6941,7110,7085.85,7007.85,1133421,7942843434.5,101117,235674,20.79
